Method,Accuracy,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1,Positive Precision,Positive Recall,Positive F1,Neutral Precision,Neutral Recall,Neutral F1,Negative Precision,Negative Recall,Negative F1
FinBERT,0.2537379067722076,0.3352555303729336,0.3313516847007591,0.32839119714253906,0.2537379067722076,0.2537379067722076,0.2537379067722076,0.9472789115646258,0.9771929824561404,0.9620034542314335,0.057750759878419454,0.013561741613133477,0.021965317919075144,0.0007369196757553427,0.0033003300330033004,0.0012048192771084338
Local LLM,0.7159190853122251,0.8149530538273129,0.5321619201252933,0.5753724630244876,0.7159190853122251,0.7159190853122251,0.7159190853122251,0.8641304347826086,0.2789473684210526,0.4217506631299735,0.691839837810441,0.974304068522484,0.8091286307053942,0.8888888888888888,0.3432343234323432,0.49523809523809526
RAG-Enhanced,0.8447669305189094,0.7983193381849848,0.7870789828898364,0.7920061412356033,0.8447669305189094,0.8447669305189094,0.8447669305189094,0.7033333333333334,0.7403508771929824,0.7213675213675214,0.9198855507868383,0.9179157744468237,0.9188996070025008,0.7717391304347826,0.7029702970297029,0.7357512953367875
